protocol,window_size,loss_prob,avg_efficiency,avg_throughput,avg_packets_sent,avg_retransmissions,avg_ticks
GBN,1,0.0000,1.0000,1.0000,1000.0000,0.0000,1000.0000
SR,1,0.0000,1.0000,1.0000,1000.0000,0.0000,1000.0000
GBN,2,0.0000,1.0000,2.0000,1000.0000,0.0000,500.0000
SR,2,0.0000,1.0000,2.0000,1000.0000,0.0000,500.0000
GBN,4,0.0000,1.0000,4.0000,1000.0000,0.0000,250.0000
SR,4,0.0000,1.0000,4.0000,1000.0000,0.0000,250.0000
GBN,8,0.0000,1.0000,8.0000,1000.0000,0.0000,125.0000
SR,8,0.0000,1.0000,8.0000,1000.0000,0.0000,125.0000
GBN,16,0.0000,1.0000,15.8730,1000.0000,0.0000,63.0000
SR,16,0.0000,1.0000,15.8730,1000.0000,0.0000,63.0000
GBN,32,0.0000,1.0000,31.2500,1000.0000,0.0000,32.0000
SR,32,0.0000,1.0000,31.2500,1000.0000,0.0000,32.0000
GBN,1,0.0500,0.9006,0.4756,1110.4000,110.4000,2104.0000
SR,1,0.0500,0.9006,0.4756,1110.4000,110.4000,2104.0000
GBN,2,0.0500,0.8986,0.9494,1113.2000,113.2000,1063.2000
SR,2,0.0500,0.9006,0.6725,1110.4000,110.4000,1488.0000
GBN,4,0.0500,0.8225,1.2901,1216.0000,216.0000,777.2000
SR,4,0.0500,0.9006,0.9094,1110.4000,110.4000,1103.4000
GBN,8,0.0500,0.7000,1.5630,1430.2000,430.2000,645.0000
SR,8,0.0500,0.9008,1.2819,1110.2000,110.2000,782.6000
GBN,16,0.0500,0.5405,1.7335,1853.8000,853.8000,582.4000
SR,16,0.0500,0.9008,1.9793,1110.2000,110.2000,507.8000
GBN,32,0.0500,0.3596,1.7416,2788.0000,1788.0000,578.2000
SR,32,0.0500,0.9008,2.9571,1110.2000,110.2000,338.8000
GBN,1,0.1000,0.8053,0.2932,1242.0000,242.0000,3420.0000
SR,1,0.1000,0.8053,0.2932,1242.0000,242.0000,3420.0000
GBN,2,0.1000,0.7955,0.5648,1257.4000,257.4000,1774.4000
SR,2,0.1000,0.8057,0.3949,1241.4000,241.4000,2540.4000
GBN,4,0.1000,0.6979,0.7703,1434.0000,434.0000,1305.2000
SR,4,0.1000,0.8056,0.5446,1241.6000,241.6000,1841.8000
GBN,8,0.1000,0.5287,0.8306,1894.8000,894.8000,1211.4000
SR,8,0.1000,0.8051,0.7741,1242.4000,242.4000,1300.6000
GBN,16,0.1000,0.3683,0.9069,2734.6000,1734.6000,1120.2000
SR,16,0.1000,0.8058,1.1740,1241.2000,241.2000,857.0000
GBN,32,0.1000,0.2267,0.9172,4420.8000,3420.8000,1093.8000
SR,32,0.1000,0.8055,1.9364,1241.8000,241.8000,520.6000
GBN,1,0.2000,0.6391,0.1506,1565.2000,565.2000,6652.0000
SR,1,0.2000,0.6391,0.1506,1565.2000,565.2000,6652.0000
GBN,2,0.2000,0.6351,0.2999,1575.4000,575.4000,3342.8000
SR,2,0.2000,0.6391,0.2063,1565.2000,565.2000,4851.6000
GBN,4,0.2000,0.4990,0.3687,2005.2000,1005.2000,2716.0000
SR,4,0.2000,0.6392,0.2883,1564.8000,564.8000,3471.8000
GBN,8,0.2000,0.3420,0.4035,2925.2000,1925.2000,2480.4000
SR,8,0.2000,0.6395,0.4423,1564.2000,564.2000,2265.0000
GBN,16,0.2000,0.2018,0.4011,4975.6000,3975.6000,2510.8000
SR,16,0.2000,0.6388,0.6834,1566.0000,566.0000,1465.4000
GBN,32,0.2000,0.1088,0.3859,9209.6000,8209.6000,2597.0000
SR,32,0.2000,0.6396,1.1222,1564.0000,564.0000,892.2000
GBN,1,0.3000,0.4911,0.0882,2039.0000,1039.0000,11390.0000
SR,1,0.3000,0.4911,0.0882,2039.0000,1039.0000,11390.0000
GBN,2,0.3000,0.5039,0.1868,1987.4000,987.4000,5378.6000
SR,2,0.3000,0.4915,0.1226,2037.2000,1037.2000,8197.0000
GBN,4,0.3000,0.3653,0.2218,2740.6000,1740.6000,4521.0000
SR,4,0.3000,0.4914,0.1822,2037.6000,1037.6000,5500.2000
GBN,8,0.3000,0.2234,0.2274,4487.0000,3487.0000,4414.4000
SR,8,0.3000,0.4939,0.2793,2027.2000,1027.2000,3593.2000
GBN,16,0.3000,0.1282,0.2337,7824.6000,6824.6000,4297.8000
SR,16,0.3000,0.4904,0.4377,2041.6000,1041.6000,2304.2000
GBN,32,0.3000,0.0659,0.2233,15204.2000,14204.2000,4489.0000
SR,32,0.3000,0.4931,0.7123,2030.6000,1030.6000,1412.8000
GBN,1,0.5000,0.2545,0.0330,3930.4000,2930.4000,30304.0000
SR,1,0.5000,0.2545,0.0330,3930.4000,2930.4000,30304.0000
GBN,2,0.5000,0.2794,0.0752,3582.8000,2582.8000,13312.0000
SR,2,0.5000,0.2546,0.0473,3929.6000,2929.6000,21153.0000
GBN,4,0.5000,0.1973,0.0972,5078.0000,4078.0000,10316.0000
SR,4,0.5000,0.2552,0.0718,3920.8000,2920.8000,13963.2000
GBN,8,0.5000,0.1105,0.0985,9051.2000,8051.2000,10153.2000
SR,8,0.5000,0.2561,0.1138,3907.2000,2907.2000,8825.0000
GBN,16,0.5000,0.0597,0.1005,16779.0000,15779.0000,9970.6000
SR,16,0.5000,0.2551,0.1840,3922.0000,2922.0000,5441.4000
GBN,32,0.5000,0.0321,0.1045,31202.2000,30202.2000,9597.0000
SR,32,0.5000,0.2577,0.3100,3883.0000,2883.0000,3236.4000
